dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,noisy_train_accuracy,noisy_test_accuracy,noiseless_train_accuracy,noiseless_test_accuracy,median_train_accuracy,median_test_accuracy,krum_train_accuracy,krum_test_accuracy,hyperbolic_train_accuracy,hyperbolic_test_accuracy
spambase,0.2,0.0,ipm_attack,32,90.35326086956522,90.01085776330075,90.40760869565217,90.01085776330075,89.32065217391305,88.70792616720955,89.78260869565217,90.11943539630836,91.0054347826087,90.11943539630836
spambase,0.2,0.0,ipm_attack,64,90.0,89.57654723127035,90.40760869565217,89.79370249728555,89.18478260869566,88.81650380021715,90.16304347826087,90.11943539630836,90.65217391304347,90.01085776330075
spambase,0.2,0.0,ipm_attack,128,89.53804347826086,88.70792616720955,90.19021739130434,89.57654723127035,89.18478260869566,88.70792616720955,90.02717391304348,89.57654723127035,90.54347826086956,89.68512486427795
spambase,0.3,0.01,add_noise,16,90.89673913043478,90.22801302931596,90.95108695652175,90.22801302931596,91.03260869565217,90.22801302931596,91.0054347826087,90.66232356134635,92.3913043478261,92.18241042345277
spambase,0.3,0.1,add_noise,16,90.89673913043478,90.44516829533116,90.95108695652175,90.22801302931596,91.0054347826087,90.33659066232356,91.25,90.87947882736157,92.17391304347827,91.96525515743757
spambase,0.3,1.0,add_noise,16,90.89673913043478,90.77090119435395,90.92391304347827,90.22801302931596,90.78804347826087,90.11943539630836,91.0054347826087,90.44516829533116,92.20108695652173,91.96525515743757
spambase,0.3,10.0,add_noise,16,90.40760869565217,88.49077090119435,90.97826086956522,90.22801302931596,90.97826086956522,90.11943539630836,90.97826086956522,90.33659066232356,92.20108695652173,92.07383279044517
spambase,0.3,100.0,add_noise,16,87.98913043478261,87.29641693811075,90.95108695652175,90.22801302931596,90.84239130434783,90.01085776330075,91.03260869565217,90.33659066232356,92.28260869565217,91.96525515743757
spambase,0.3,200.0,add_noise,16,85.08152173913044,85.99348534201955,90.95108695652175,90.22801302931596,90.97826086956522,90.22801302931596,91.0054347826087,90.77090119435395,92.17391304347827,92.07383279044517
spambase,0.3,0.01,add_noise,32,90.3804347826087,90.01085776330075,90.40760869565217,90.01085776330075,90.43478260869566,89.46796959826275,90.89673913043478,90.77090119435395,91.79347826086956,90.87947882736157
spambase,0.3,0.1,add_noise,32,90.76086956521739,90.22801302931596,90.40760869565217,90.01085776330075,90.40760869565217,89.46796959826275,90.92391304347827,90.44516829533116,91.7663043478261,90.98805646036917
spambase,0.3,1.0,add_noise,32,90.51630434782608,89.79370249728555,90.65217391304347,90.22801302931596,90.3804347826087,89.46796959826275,90.81521739130434,90.33659066232356,91.79347826086956,91.09663409337676
spambase,0.3,10.0,add_noise,32,90.02717391304348,89.03365906623235,90.65217391304347,90.22801302931596,90.3804347826087,89.35939196525516,90.89673913043478,90.22801302931596,91.79347826086956,91.20521172638436
spambase,0.3,100.0,add_noise,32,86.82065217391305,87.62214983713355,90.40760869565217,90.01085776330075,90.3804347826087,89.46796959826275,90.97826086956522,90.22801302931596,91.73913043478261,91.09663409337676
spambase,0.3,200.0,add_noise,32,86.73913043478261,86.64495114006515,90.40760869565217,90.01085776330075,90.40760869565217,89.35939196525516,90.84239130434783,90.33659066232356,91.82065217391305,91.20521172638436
spambase,0.3,0.01,add_noise,64,90.43478260869566,89.79370249728555,90.40760869565217,89.79370249728555,90.32608695652173,89.25081433224756,90.46195652173913,90.22801302931596,91.05978260869566,90.33659066232356
spambase,0.3,0.1,add_noise,64,90.3804347826087,89.90228013029315,90.43478260869566,89.79370249728555,90.27173913043478,89.35939196525516,90.57065217391305,89.90228013029315,91.05978260869566,90.33659066232356
spambase,0.3,1.0,add_noise,64,90.02717391304348,89.68512486427795,90.40760869565217,89.79370249728555,90.2445652173913,89.46796959826275,90.3804347826087,89.79370249728555,91.1413043478261,90.11943539630836
spambase,0.3,10.0,add_noise,64,89.78260869565217,89.03365906623235,90.40760869565217,89.79370249728555,90.32608695652173,89.46796959826275,90.32608695652173,89.90228013029315,91.08695652173913,90.22801302931596
spambase,0.3,100.0,add_noise,64,83.91304347826087,84.90770901194354,90.43478260869566,89.79370249728555,90.2445652173913,89.35939196525516,90.43478260869566,90.11943539630836,91.05978260869566,90.22801302931596
spambase,0.3,200.0,add_noise,64,85.57065217391305,83.27904451682954,90.43478260869566,89.79370249728555,90.29891304347825,89.46796959826275,90.43478260869566,90.01085776330075,91.08695652173913,90.22801302931596
