dataset	byzantine_fraction	noise_variance	attack_mode	samples_per_node	accuracy_type	accuracy	Aggregation Method
spambase	0.4	10.0	add_noise	128	noisy_train_accuracy	88.53260869565217	mean with noise
spambase	0.4	100.0	add_noise	128	noisy_train_accuracy	83.91304347826087	mean with noise
spambase	0.4	200.0	add_noise	128	noisy_train_accuracy	84.29347826086956	mean with noise
mnist	0.1	0.01	add_noise	16	noisy_train_accuracy	92.005	mean with noise
mnist	0.1	0.1	add_noise	16	noisy_train_accuracy	92.02333333333334	mean with noise
mnist	0.1	1.0	add_noise	16	noisy_train_accuracy	91.68833333333332	mean with noise
mnist	0.1	10.0	add_noise	16	noisy_train_accuracy	89.29833333333333	mean with noise
mnist	0.1	100.0	add_noise	16	noisy_train_accuracy	83.01666666666667	mean with noise
mnist	0.1	200.0	add_noise	16	noisy_train_accuracy	80.51333333333334	mean with noise
mnist	0.1	0.01	add_noise	32	noisy_train_accuracy	91.47166666666666	mean with noise
mnist	0.1	0.1	add_noise	32	noisy_train_accuracy	91.48	mean with noise
mnist	0.1	1.0	add_noise	32	noisy_train_accuracy	91.16333333333333	mean with noise
mnist	0.1	10.0	add_noise	32	noisy_train_accuracy	89.11	mean with noise
mnist	0.1	100.0	add_noise	32	noisy_train_accuracy	80.65	mean with noise
mnist	0.1	200.0	add_noise	32	noisy_train_accuracy	79.27833333333332	mean with noise
mnist	0.1	0.01	add_noise	64	noisy_train_accuracy	90.815	mean with noise
mnist	0.1	0.1	add_noise	64	noisy_train_accuracy	90.75833333333333	mean with noise
mnist	0.1	1.0	add_noise	64	noisy_train_accuracy	90.59833333333331	mean with noise
mnist	0.1	10.0	add_noise	64	noisy_train_accuracy	88.97666666666667	mean with noise
mnist	0.1	100.0	add_noise	64	noisy_train_accuracy	79.93166666666667	mean with noise
mnist	0.1	200.0	add_noise	64	noisy_train_accuracy	78.31166666666667	mean with noise
mnist	0.1	0.01	add_noise	128	noisy_train_accuracy	89.95166666666667	mean with noise
mnist	0.1	0.1	add_noise	128	noisy_train_accuracy	89.92166666666667	mean with noise
mnist	0.1	1.0	add_noise	128	noisy_train_accuracy	89.775	mean with noise
mnist	0.1	10.0	add_noise	128	noisy_train_accuracy	88.22666666666666	mean with noise
mnist	0.1	100.0	add_noise	128	noisy_train_accuracy	79.335	mean with noise
mnist	0.1	200.0	add_noise	128	noisy_train_accuracy	75.775	mean with noise
mnist	0.2	0.01	add_noise	16	noisy_train_accuracy	92.03	mean with noise
mnist	0.2	0.1	add_noise	16	noisy_train_accuracy	91.97	mean with noise
mnist	0.2	1.0	add_noise	16	noisy_train_accuracy	91.44	mean with noise
mnist	0.2	10.0	add_noise	16	noisy_train_accuracy	87.52166666666666	mean with noise
mnist	0.2	100.0	add_noise	16	noisy_train_accuracy	80.05	mean with noise
mnist	0.2	200.0	add_noise	16	noisy_train_accuracy	78.24333333333333	mean with noise
mnist	0.2	0.01	add_noise	32	noisy_train_accuracy	91.51	mean with noise
mnist	0.2	0.1	add_noise	32	noisy_train_accuracy	91.39666666666668	mean with noise
mnist	0.2	1.0	add_noise	32	noisy_train_accuracy	91.06666666666666	mean with noise
mnist	0.2	10.0	add_noise	32	noisy_train_accuracy	87.81833333333333	mean with noise
mnist	0.2	100.0	add_noise	32	noisy_train_accuracy	78.70166666666667	mean with noise
mnist	0.2	200.0	add_noise	32	noisy_train_accuracy	74.6	mean with noise
