dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,hyperbolic_krum_train_accuracy,hyperbolic_krum_test_accuracy
spambase,0.4,0.1,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.4,1.0,add_noise,32,90.51630434782608,90.11943539630836
spambase,0.4,10.0,add_noise,32,90.40760869565217,90.11943539630836
spambase,0.4,100.0,add_noise,32,90.29891304347825,90.11943539630836
spambase,0.4,200.0,add_noise,32,90.32608695652173,90.11943539630836
spambase,0.4,0.01,add_noise,64,89.86413043478261,89.14223669923996
spambase,0.4,0.1,add_noise,64,89.91847826086956,89.14223669923996
spambase,0.4,1.0,add_noise,64,90.02717391304348,89.14223669923996
spambase,0.4,10.0,add_noise,64,90.08152173913044,89.46796959826275
spambase,0.4,100.0,add_noise,64,89.91847826086956,89.25081433224756
spambase,0.4,200.0,add_noise,64,89.91847826086956,89.25081433224756
spambase,0.4,0.01,add_noise,128,89.61956521739131,88.27361563517914
spambase,0.4,0.1,add_noise,128,89.59239130434783,88.38219326818675
spambase,0.4,1.0,add_noise,128,89.4836956521739,88.27361563517914
spambase,0.4,10.0,add_noise,128,89.7554347826087,88.38219326818675
spambase,0.4,100.0,add_noise,128,89.56521739130436,88.27361563517914
spambase,0.4,200.0,add_noise,128,89.56521739130436,88.16503800217154
spambase,0.4,0.0,ipm_attack,16,12.228260869565217,11.509229098805646
spambase,0.4,0.0,ipm_attack,32,12.33695652173913,11.617806731813246
spambase,0.4,0.0,ipm_attack,64,58.96739130434783,55.591748099891426
spambase,0.4,0.0,ipm_attack,128,83.0163043478261,82.08469055374593
mnist,0.1,0.01,add_noise,16,88.25166666666667,89.31
mnist,0.1,0.1,add_noise,16,88.215,89.42999999999999
mnist,0.1,1.0,add_noise,16,88.24666666666666,89.35
mnist,0.1,10.0,add_noise,16,88.24499999999999,89.36
mnist,0.1,100.0,add_noise,16,88.215,89.29
mnist,0.1,200.0,add_noise,16,88.27833333333334,89.22
mnist,0.1,0.01,add_noise,32,89.16833333333334,90.14999999999999
mnist,0.1,0.1,add_noise,32,89.20666666666666,90.10000000000001
mnist,0.1,1.0,add_noise,32,89.16666666666667,90.14999999999999
mnist,0.1,10.0,add_noise,32,89.13833333333334,90.14999999999999
mnist,0.1,100.0,add_noise,32,89.16333333333334,90.12
mnist,0.1,200.0,add_noise,32,89.17833333333334,90.12
mnist,0.1,0.01,add_noise,64,88.98,89.87
mnist,0.1,0.1,add_noise,64,88.99666666666667,89.98
mnist,0.1,1.0,add_noise,64,89.01333333333334,89.9
mnist,0.1,10.0,add_noise,64,88.96,89.81
mnist,0.1,100.0,add_noise,64,88.995,89.88000000000001
mnist,0.1,200.0,add_noise,64,89.00166666666667,89.86
mnist,0.1,0.01,add_noise,128,88.36333333333334,89.17
mnist,0.1,0.1,add_noise,128,88.41833333333334,89.19
mnist,0.1,1.0,add_noise,128,88.40333333333334,89.2
mnist,0.1,10.0,add_noise,128,88.33833333333332,89.16
mnist,0.1,100.0,add_noise,128,88.37666666666667,89.24
mnist,0.1,200.0,add_noise,128,88.34833333333333,89.22
mnist,0.1,0.0,ipm_attack,16,84.08833333333334,85.31
mnist,0.1,0.0,ipm_attack,32,82.735,83.76
mnist,0.1,0.0,ipm_attack,64,83.45166666666667,84.64
mnist,0.1,0.0,ipm_attack,128,85.77,87.03
mnist,0.2,0.01,add_noise,16,88.38166666666667,89.5
mnist,0.2,0.1,add_noise,16,88.40333333333334,89.47
mnist,0.2,1.0,add_noise,16,88.41499999999999,89.41
mnist,0.2,10.0,add_noise,16,88.40666666666667,89.4
mnist,0.2,100.0,add_noise,16,88.36166666666668,89.47
mnist,0.2,200.0,add_noise,16,88.36,89.37
mnist,0.2,0.01,add_noise,32,89.21666666666667,90.14999999999999
mnist,0.2,0.1,add_noise,32,89.23166666666667,90.09
mnist,0.2,1.0,add_noise,32,89.22333333333333,90.19
mnist,0.2,10.0,add_noise,32,89.19333333333334,90.18
mnist,0.2,100.0,add_noise,32,89.18666666666667,90.25
mnist,0.2,200.0,add_noise,32,89.215,90.18
mnist,0.2,0.01,add_noise,64,89.06166666666667,89.87
mnist,0.2,0.1,add_noise,64,89.07833333333333,89.82
mnist,0.2,1.0,add_noise,64,89.03666666666666,89.95
mnist,0.2,10.0,add_noise,64,89.07166666666667,89.94
mnist,0.2,100.0,add_noise,64,89.07166666666667,89.92999999999999
mnist,0.2,200.0,add_noise,64,89.005,89.97
mnist,0.2,0.01,add_noise,128,88.41333333333333,89.21
mnist,0.2,0.1,add_noise,128,88.40333333333334,89.16
mnist,0.2,1.0,add_noise,128,88.43166666666666,89.14
mnist,0.2,10.0,add_noise,128,88.36833333333334,89.28
mnist,0.2,100.0,add_noise,128,88.405,89.18
mnist,0.2,200.0,add_noise,128,88.38333333333334,89.14999999999999
mnist,0.2,0.0,ipm_attack,16,81.985,82.80999999999999
mnist,0.2,0.0,ipm_attack,32,81.71000000000001,82.44
mnist,0.2,0.0,ipm_attack,64,82.17666666666666,83.34
mnist,0.2,0.0,ipm_attack,128,84.405,85.41
mnist,0.3,0.01,add_noise,16,88.51666666666667,89.58
mnist,0.3,0.1,add_noise,16,88.52833333333334,89.59
mnist,0.3,1.0,add_noise,16,88.505,89.53
mnist,0.3,10.0,add_noise,16,88.565,89.48
mnist,0.3,100.0,add_noise,16,88.57166666666667,89.59
mnist,0.3,200.0,add_noise,16,88.57666666666667,89.59
mnist,0.3,0.01,add_noise,32,89.29333333333334,90.11
mnist,0.3,0.1,add_noise,32,89.28166666666667,90.19
mnist,0.3,1.0,add_noise,32,89.30166666666666,90.19
